1;2801.00;10.10;1623.00;small
1;2770.00;10.43;1615.00;small
2;2773.00;11.38;1664.00;small
2;2744.00;11.30;1628.00;small
3;2745.00;11.82;1709.00;small
3;2730.00;13.20;1744.00;small
4;2694.00;9.98;1666.00;small
4;2673.00;10.05;1638.00;small
5;2892.00;9.60;1631.00;small
5;2875.00;9.80;1598.00;small
6;2961.00;9.70;1641.00;small
6;2932.00;10.38;1628.00;small
7;2975.00;11.25;1557.00;big
7;2929.00;10.90;1584.00;big
8;3016.00;9.75;1626.00;big
8;3058.00;10.00;1611.00;small
8;2980.00;10.20;1614.00;small
9;3171.00;9.50;1750.00;small
9;3232.00;9.50;1799.00;small
10;3018.00;10.50;1735.00;small
10;3056.00;9.50;1781.00;small
11;2975.00;12.68;1871.00;big
11;2944.00;12.50;1801.00;big
12;3397.00;10.00;1986.00;small
12;3315.00;11.28;2001.00;small
13;3253.00;10.50;1880.00;big
13;3277.00;10.32;1834.00;big
14;3828.00;9.82;1827.00;big
14;3775.00;10.50;1721.00;big
14;3921.00;9.80;1733.00;big
15;4993.00;11.80;1360.00;big
15;5025.00;11.95;1443.00;big
16;2821.00;9.50;1714.00;big
16;2786.00;9.70;1808.00;big
17;3405.00;16.50;858.00;big
18;2768.00;9.70;1568.00;small
18;2832.00;9.50;1620.00;small
19;2842.00;9.80;1557.00;big
19;2894.00;10.10;1535.00;big
20;2826.00;10.00;1471.00;big
20;2887.00;9.73;1478.00;big
21;3042.00;13.30;1532.00;big
21;2994.00;15.57;1516.00;big
22;3017.00;12.07;1579.00;small
22;3047.00;10.60;1591.00;small
22;3073.00;10.55;1573.00;small
23;2996.00;11.45;1444.00;small
23;3045.00;9.88;1393.00;small
24;3093.00;13.30;1469.00;small
24;3046.00;10.73;1485.00;small
25;3224.00;9.75;1411.00;small
25;3152.00;10.45;1376.00;small
26;3225.00;10.00;1536.00;small
26;3190.00;11.20;1476.00;small
26;3248.00;9.75;1495.00;small
27;3142.00;9.82;1545.00;small
27;3089.00;10.38;1531.00;small
